Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
2003-03-03,0.00,-0.41,0.00,0.21,1.30,2.27,2.34,-1.10,-1.51,-3.09
2003-03-19,0.00,-0.60,3.62,2.41,3.35,2.82,2.28,5.16,5.03,2.08
2003-06-06,0.00,-2.32,-3.93,-5.84,-3.75,-8.81,-8.34,-13.88,-14.00,-14.35
2003-08-22,0.00,-0.91,-2.97,-6.38,-8.39,-9.54,-10.02,-9.44,-7.86,-9.01
2003-10-30,0.00,-1.14,-0.09,-0.61,-1.00,1.70,4.33,5.90,2.45,2.05
2003-11-07,0.00,1.64,-1.96,-2.37,2.01,3.52,6.80,6.76,6.94,7.40
2003-11-14,0.00,3.41,3.36,3.55,4.02,-0.09,2.13,1.94,1.04,-2.74
2003-12-09,0.00,-4.07,-2.50,1.03,1.28,2.45,1.67,3.34,2.60,2.80
2003-12-19,0.00,0.20,-2.82,-4.69,-6.55,-7.20,-7.66,-7.20,-11.69,-11.28
2004-01-02,0.00,0.36,-1.89,-5.37,-3.74,-7.04,-8.80,-9.16,-3.07,-2.48
2004-02-13,0.00,-0.43,2.98,3.28,4.19,3.45,1.51,0.52,-3.28,-3.71
2004-02-19,0.00,0.94,0.18,-1.83,-2.86,-6.79,-7.23,-6.29,-6.79,-12.32
2004-03-31,0.00,-1.44,-4.46,-2.66,-0.74,-1.55,-3.43,0.66,1.73,-8.08
2004-05-19,0.00,-1.50,-2.36,-6.36,-6.74,-5.47,-5.05,-5.05,-8.27,-6.33
2004-06-21,0.00,-2.12,-0.55,-2.12,1.55,1.52,1.39,2.12,5.82,6.21
2004-06-28,0.00,-0.12,0.62,4.37,4.77,6.49,7.26,7.60,10.34,10.09
2004-07-21,0.00,3.09,1.33,-2.37,-1.86,-3.03,-2.08,0.32,1.23,-0.35
2004-07-30,0.00,0.92,-0.66,0.60,5.70,4.05,0.19,1.80,3.83,2.34
2004-12-07,0.00,-1.12,-2.96,-2.58,-3.18,-3.13,-5.25,-2.70,0.88,-0.65
2004-12-27,0.00,-0.41,-0.97,-0.34,1.39,0.37,-0.50,-0.58,-7.90,-7.45
2005-02-09,0.00,-3.64,-8.00,-12.83,-15.02,-12.06,-10.78,-8.84,-12.60,-13.49
2005-04-20,0.00,4.52,0.54,2.66,3.31,4.41,3.01,2.02,2.61,0.08
2005-06-06,0.00,-1.04,-3.04,2.00,1.75,1.48,-1.61,-3.94,-4.84,-2.93
2005-09-01,0.00,-5.58,-5.32,-7.70,-11.01,-11.21,-9.95,-7.33,-7.90,-10.80
2005-10-04,0.00,2.05,2.80,4.57,2.25,6.69,-1.82,-2.31,-1.25,1.08
2006-01-17,0.00,4.18,7.76,5.84,7.82,10.05,12.32,12.68,9.08,8.46
2006-02-09,0.00,3.86,-0.49,-2.84,-4.84,-4.43,-2.63,-5.96,-6.60,-6.17
2006-05-18,0.00,1.75,2.11,1.81,0.28,1.49,5.10,7.35,3.63,4.42
2006-11-03,0.00,-1.00,-3.44,-4.55,-4.28,-5.82,-6.64,-5.44,-7.40,-7.70
2007-01-03,0.00,0.71,0.22,-8.07,-13.24,-11.84,-10.46,-13.36,-10.85,-3.98
2007-01-17,0.00,0.64,2.56,3.78,2.66,3.17,4.14,3.51,3.95,3.75
2007-01-25,0.00,-0.66,-0.20,-0.41,0.75,0.74,1.69,1.44,-0.90,-0.94
2007-04-09,0.00,1.76,2.19,4.25,2.99,4.14,4.08,4.22,3.48,0.79
2007-04-17,0.00,0.14,-0.63,-3.44,-3.14,-5.48,-9.34,-10.53,-10.40,-10.03
2007-08-23,0.00,2.25,6.27,0.90,-0.70,-2.35,-6.55,-1.08,0.21,2.61
2007-09-05,0.00,2.40,-1.26,-0.36,-1.36,-1.62,-2.81,-2.52,-4.38,-4.27
2007-10-19,0.00,-6.77,-6.64,-4.83,-5.93,-6.15,-7.25,-8.94,-7.50,-7.75
2007-12-11,0.00,-0.51,0.25,3.38,4.13,4.06,1.91,-1.60,-4.16,-4.24
2008-02-12,0.00,1.50,3.69,5.58,4.31,6.07,7.68,7.47,7.92,4.98
2008-02-21,0.00,-0.23,0.26,-2.93,-8.75,-4.65,-1.90,-4.32,-4.21,-1.23
